Mês/Ano;Valor Transferido;Programa Social
jun/22;3657976093;Auxílio Brasil
jan/22;3672884516;Auxílio Brasil
mai/22;3686174360;Auxílio Brasil
abr/22;3750310837;Auxílio Brasil
fev/22;3758585119;Auxílio Brasil
mar/22;3867746074;Auxílio Brasil
jul/22;6939973662;Auxílio Brasil
